store_id,name,address_line1,city,region,Product Name,Price,Price Per Count,Primary Location Name,Available Quantity,Order Pickup
757,Owensboro,5151 Frederica St,Owensboro,KY,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$5.79 ,$0.32 ,Owensboro,10,IN_STOCK
1220,Greensburg,6206 State Rte 30,Greensburg,PA,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$5.79 ,$0.32 ,Greensburg,10,IN_STOCK
1975,Houston Meyerland,300 Meyerland Plaza Mall,Houston,TX,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$5.79 ,$0.32 ,Houston Meyerland,10,IN_STOCK
2436,Richmond East,4521 S Laburnum Ave,Richmond,VA,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$5.79 ,$0.32 ,Richmond East,10,IN_STOCK
955,Galleria,4323 San Felipe St,Houston,TX,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$5.79 ,$0.32 ,Galleria,10,IN_STOCK
67,Plano,120 W Parker Rd,Plano,TX,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$5.79 ,$0.32 ,Plano,10,IN_STOCK
2063,Naples North,2415 Tarpon Bay Blvd,Naples,FL,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$5.79 ,$0.32 ,Naples North,10,IN_STOCK
759,Potomac Mills,2460 Prince William Pkwy,Woodbridge,VA,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$5.79 ,$0.32 ,Potomac Mills,6,IN_STOCK
2528,Chili,3181 Chili Ave,Rochester,NY,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$5.79 ,$0.32 ,Chili,8,IN_STOCK
779,Elizabethtown,1631 Ring Rd,Elizabethtown,KY,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$5.79 ,$0.32 ,Elizabethtown,10,IN_STOCK
1915,Latham,675 Troy Schenectady Rd,Latham,NY,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$5.79 ,$0.32 ,Latham,10,IN_STOCK
2193,Maple Grove North,15300 Grove Circle N,Maple Grove,MN,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$5.79 ,$0.32 ,Maple Grove North,10,IN_STOCK
1011,Eastern Hills,8290 Transit Rd,Williamsville,NY,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$5.79 ,$0.32 ,Eastern Hills,10,IN_STOCK
2428,Bryan,3061 Wildflower Dr,Bryan,TX,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$5.79 ,$0.32 ,Bryan,10,IN_STOCK
2525,Blue Springs,1040 NE CORONADO,Blue Springs,MO,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$5.79 ,$0.32 ,Blue Springs,10,IN_STOCK
731,Highland,10451 Indianapolis Blvd,Highland,IN,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$5.79 ,$0.32 ,Highland,10,IN_STOCK
1977,St Joseph,5201 N Belt Hwy,St. Joseph,MO,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$5.79 ,$0.32 ,St Joseph,10,IN_STOCK
879,Lincoln South,5330 S 56th St,Lincoln,NE,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$5.79 ,$0.32 ,Lincoln South,10,IN_STOCK
2166,Biddeford,430 Mariner Way,Biddeford,ME,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$5.79 ,$0.32 ,Biddeford,10,IN_STOCK
2161,Bainbridge,18855 N Market Place Dr,Aurora,OH,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$5.79 ,$0.32 ,Bainbridge,10,IN_STOCK
2103,Dardenne Prairie,7955 Highway N,Dardenne Prairie,MO,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$5.79 ,$0.32 ,Dardenne Prairie,10,IN_STOCK
2069,Durham Renaissance Pkwy,8210 Renaissance Pkwy,Durham,NC,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$5.79 ,$0.32 ,Durham Renaissance Pkwy,10,IN_STOCK
2542,Tulsa South,10019 S Memorial Dr,Tulsa,OK,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$5.79 ,$0.32 ,Tulsa South,10,IN_STOCK
2461,Amsterdam,100 Amsterdam Commons,Amsterdam,NY,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$5.79 ,$0.32 ,Amsterdam,10,IN_STOCK
1037,Springdale,900 E Kemper Rd,Springdale,OH,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$5.79 ,$0.32 ,Springdale,10,IN_STOCK
772,Fredericksburg,1180 Carl D Silver Pkwy,Fredericksburg,VA,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$5.79 ,$0.32 ,Fredericksburg,1,IN_STOCK
2092,Deerfield Beach Hillsboro Blvd,3599 W Hillsboro Blvd,Deerfield Beach,FL,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$5.79 ,$0.32 ,Deerfield Beach Hillsboro Blvd,10,IN_STOCK
